sigma,PRCC_b_o10prob,PRCC_muv_o10prob,PRCC_tvh_o10prob,PRCC_fake_o10prob,PRCC_b_o100prob,PRCC_muv_o100prob,PRCC_tvh_o100prob,PRCC_fake_o100prob,PRCC_b_eprob,PRCC_muv_eprob,PRCC_tvh_eprob,PRCC_fake_eprob,PRCC_b_peak,PRCC_muv_peak,PRCC_tvh_peak,PRCC_fake_peak,PRCC_b_dur,PRCC_muv_dur,PRCC_tvh_dur,PRCC_fake_dur
0.0,0.8462727553795638,-0.6857207755218148,0.659445714232531,-0.2369238546666538,0.8462727553795638,-0.6857207755218148,0.659445714232531,-0.2369238546666538,0.7084295683557215,-0.6151430061863783,0.5251061293775492,-0.08709515762701547,0.9575573670866945,-0.8829431011846466,0.8527953746401473,-0.101255699396931,0.9186293998025267,-0.9119041648318614,0.8569785568705461,-0.09894365473365854
0.02,0.8452046099766182,-0.6879258009076391,0.6872111396911257,-0.17615134193992443,0.8452046099766182,-0.6879258009076391,0.6872111396911257,-0.17615134193992443,0.708723103973471,-0.614430556865814,0.5268568017490171,-0.08628791219500559,0.9565700089143979,-0.8862610394507946,0.8488882372844736,-0.12360160682525846,0.917828528430997,-0.9105714261179197,0.8555580776274287,-0.10150284256678392
0.04,0.8741031553820361,-0.7660422848471468,0.6795075682872647,0.10193408477803217,0.8741031553820361,-0.7660422848471468,0.6795075682872647,0.10193408477803217,0.6479392381362427,-0.599885938306875,0.43808967636643403,-0.04399509755921713,0.9324447180380288,-0.8540093160715296,0.7874245650330474,0.16366160961898127,0.9101635711129494,-0.9058353229315166,0.8363280410908539,0.21457988903577097
0.06,0.8783076992887751,-0.7564719478109456,0.6875430466407394,0.1069781191816032,0.8783076992887751,-0.7564719478109456,0.6875430466407394,0.1069781191816032,0.6519960771274427,-0.578404804881856,0.4425769947332916,-0.04521084403113641,0.9317844829598263,-0.8535031754551967,0.7840481987521154,0.16450361349301879,0.9098597260815086,-0.903002792171434,0.8360779810677241,0.22722000070427234
0.08,0.8966029441535371,-0.7497611322185844,0.7747547003409886,-0.05186893388448314,0.8966029441535371,-0.7497611322185844,0.7747547003409886,-0.05186893388448314,0.7128537600740835,-0.49405247777102584,0.5449748529895376,-0.04196083803868501,0.947190297024226,-0.8680373943974826,0.839862954635572,-0.010225883672981545,0.9241428242415908,-0.9083914593565173,0.8679607296248054,0.06652102122048155
0.1,0.9110186376130057,-0.8019423530500837,0.8271323342390852,0.034622765181019595,0.9110186376130057,-0.8019423530500837,0.8271323342390852,0.034622765181019595,0.7117396854812557,-0.4725273953959432,0.5278890936957296,-0.061125300832652656,0.9471033419134908,-0.8661229791364691,0.8378860926741301,-0.013560836712546537,0.9265301150415134,-0.9062868220747607,0.8673488422833432,0.0566591130111524
0.12,0.923358131138172,-0.8163998503767069,0.8377196760710209,-0.021917667556869184,0.923358131138172,-0.8163998503767069,0.8377196760710209,-0.021917667556869184,0.682242117370687,-0.43894777477449776,0.5262181294226159,-0.0925189718861519,0.9474417117821109,-0.8642696722894319,0.8370470338417779,-0.02541131558713902,0.9273751888117927,-0.9036549354629079,0.8654093430011642,0.06052801579187183
0.14,0.941910522229727,-0.8749861683055764,0.884367405744175,-0.14136225391926185,0.941910522229727,-0.8749861683055764,0.884367405744175,-0.14136225391926185,0.7706377564733373,-0.5660656319877615,0.6061435332329917,-0.05255998195008192,0.9645696429456123,-0.9200140097051787,0.8811375176560493,-0.03177408802758291,0.9132321491592896,-0.9087842792559183,0.8535322434019111,0.05341405365404571
0.16,0.9540294723093353,-0.895254407262724,0.9052613681965351,-0.09220784001413912,0.9540294723093353,-0.895254407262724,0.9052613681965351,-0.09220784001413912,0.7769291772408052,-0.545033920603043,0.6055338398423615,-0.04491022349108821,0.9639177159838541,-0.9134657911372043,0.8773756680357876,-0.014098866166672611,0.9078299991610039,-0.8974832530635752,0.837708453339239,0.05596522231199405
0.18,0.9292506307141696,-0.8000140576562812,0.8402675906110793,-0.06052934426697995,0.9292506307141696,-0.8000140576562812,0.8402675906110793,-0.06052934426697995,0.626019967165702,-0.341058907443412,0.4732979341613226,-0.022421270058658654,0.9383950017579061,-0.80581376111424,0.8150666181856997,-0.03416141219036236,0.8881398203320214,-0.8318687524940303,0.816219194138017,-0.08908974873905023
0.2,0.9355579573596768,-0.8128923309865281,0.854530062451685,-0.05210980709466157,0.9355579573596768,-0.8128923309865281,0.854530062451685,-0.05210980709466157,0.6098199917759013,-0.31815651158423447,0.44355146443196963,-0.035017982944132366,0.9392991539831398,-0.8031296056997611,0.8170071246017095,-0.033105502294671664,0.8874658861226207,-0.8267045683442928,0.8126944863381534,-0.08937237957235754
0.22,0.9534741977310037,-0.867343049386311,0.9072224506297987,-0.07646520632274258,0.9534741977310037,-0.867343049386311,0.9072224506297987,-0.07646520632274258,0.6028910409717904,-0.369672826742993,0.4672038873488036,0.06356726743496993,0.9508442839182021,-0.8502926758731596,0.8737969752608045,-0.11439502151567332,0.8897132171771255,-0.8612619909367094,0.8124490809517725,-0.07768676542766234
0.24,0.9590107881625005,-0.8796170938443395,0.9134690089460757,-0.06952170637985906,0.9590107881625005,-0.8796170938443395,0.9134690089460757,-0.06952170637985906,0.5600111533886757,-0.29719750730334915,0.4458139120712071,0.011195146064283108,0.9523060461744933,-0.8490812442171694,0.8730736601227806,-0.1107339514479402,0.8900514453939996,-0.8575658027809598,0.8037018212926883,-0.062185526832894404
0.26,0.9598869555107273,-0.8793384574318781,0.9144544810487453,-0.07074394190726119,0.9598869555107273,-0.8793384574318781,0.9144544810487453,-0.07074394190726119,0.5460993412781123,-0.3193719346928633,0.40194788902214257,0.009427375891777723,0.9537353617680582,-0.8487130713971561,0.8766752207099899,-0.09094654023530772,0.8898759620591717,-0.8523594645388787,0.7887823533935291,-0.07966362308503831
0.28,0.9474296072051512,-0.8382443773902193,0.8622330674230201,0.08807260801873817,0.9474296072051512,-0.8382443773902193,0.8622330674230201,0.08807260801873817,0.4452496152388121,-0.1842272196140885,0.44593791200306254,-0.1313047162650374,0.942279519797569,-0.7826074778783595,0.7942545277317095,0.11538814522141018,0.9012059573563537,-0.8328800024179167,0.7549545763254311,0.1691005147837518
0.3,0.9494498668610603,-0.839115357328894,0.8592790141605653,0.0998150124172471,0.9494498668610603,-0.839115357328894,0.8592790141605653,0.0998150124172471,0.3946444112065318,-0.1685431911326528,0.41283876722456264,-0.14086762288304372,0.9443889179598406,-0.7810510735979392,0.7974785178143055,0.12263674761389504,0.9053470125604768,-0.8338542870218918,0.7468187848167318,0.1706588806507885
0.32,0.9531424242528478,-0.8472429966991311,0.8665992713908401,0.1017211519517766,0.9531424242528478,-0.8472429966991311,0.8665992713908401,0.1017211519517766,0.37638581356398904,-0.15659631839186886,0.40033263599503766,-0.14185979979217372,0.9445073440262323,-0.7755809481821503,0.7975742875399882,0.117578718952739,0.9064118430015389,-0.831602307456264,0.7398859030517752,0.1716567312671361
0.34,0.9710419851757917,-0.9078518001206549,0.9085925088698474,-0.07481180134166278,0.9710419851757917,-0.9078518001206549,0.9085925088698474,-0.07481180134166278,0.5784582687806975,-0.2144628435363056,0.3682372741226102,0.005644198225031406,0.9624950514759826,-0.8580114523033863,0.8477892719068032,-0.1216297249674632,0.9038426970911343,-0.8291307913268117,0.699519194922125,-0.09304253486973794
0.36,0.9708619391721829,-0.9050381525385138,0.9049888841634709,-0.07072603694034368,0.9708619391721829,-0.9050381525385138,0.9049888841634709,-0.07072603694034368,0.5574599132416478,-0.1827135187179629,0.3687162317145485,0.0016963241381852505,0.9623326518835397,-0.8573871741530641,0.8538742309986451,-0.09740162945404841,0.9049446102227641,-0.8238828693881276,0.68659013143818,-0.09892169282974363
0.38,0.9722867363411412,-0.9075609384069391,0.9074827948995313,-0.08228578668782377,0.9722867363411412,-0.9075609384069391,0.9074827948995313,-0.08228578668782377,0.5578757052566341,-0.18166267539198774,0.36860274900303464,0.0024581314920055068,0.9635723454497356,-0.8568980365688548,0.857095580886279,-0.10438151420385336,0.9070929549067442,-0.8214256715152637,0.6718448524560033,-0.08544562759361969
0.4,0.9702671313224028,-0.8976564422088655,0.9110888354775045,0.05904115393831845,0.9702671313224028,-0.8976564422088655,0.9110888354775045,0.05904115393831845,0.5258790679075233,-0.12771676236318757,0.30371577245846826,-0.25209119417171527,0.9558985816690516,-0.8150623703490032,0.8564161948873326,0.01445313589668166,0.9165534777987704,-0.8351033424789908,0.7210181480367995,0.12314512703024584
